STAID;STANAME                                 ;      LAT;       LON;HGHT
31;MARSEILLE OBS. PALAIS-LONCHAMP          ;+43:18:18;+005:23:48;75
32;BOURGES                                 ;+47:03:33;+002:21:35;161
33;TOULOUSE-BLAGNAC                        ;+43:37:16;+001:22:44;151
34;BORDEAUX-MERIGNAC                       ;+44:49:50;-000:41:29;47
36;PERPIGNAN                               ;+42:44:14;+002:52:22;42
37;LYON - ST EXUPERY                       ;+45:43:35;+005:04:40;235
736;ABBEVILLE                               ;+50:08:10;+001:50:02;69
737;LILLE-LESQUIN                           ;+50:34:12;+003:05:51;47
738;CAEN-CARPIQUET                          ;+49:10:48;-000:27:22;67
739;REIMS-PRUNAY                            ;+49:12:35;+004:09:19;95
740;ALENCON                                 ;+48:26:44;+000:06:37;143
742;NANTES-BOUGUENAIS                       ;+47:09:00;-001:36:32;26
745;DIJON-LONGVIC                           ;+47:16:04;+005:05:18;219
749;POITIERS - BIARD                        ;+46:35:38;+000:18:52;123
750;CLERMONT-FERRAND                        ;+45:47:13;+003:08:58;331
755;EMBRUN                                  ;+44:33:56;+006:30:08;871
756;TARBES - OSSUN                          ;+43:11:17;+000:00:00;360
757;NICE                                    ;+43:38:56;+007:12:32;2
758;BASTIA                                  ;+42:32:26;+009:29:07;10
434;BREST-GUIPAVAS                          ;+48:26:39;-004:24:43;94
39;MARIGNANE                               ;+43:26:16;+005:12:58;9
322;RENNES-ST JACQUES                       ;+48:04:08;-001:44:02;36
784;METZ-FRESCATY                           ;+49:04:23;+006:07:32;190
786;MONTELIMAR                              ;+44:34:52;+004:43:59;73
793;PTE DE LA HAGUE                         ;+49:43:31;-001:56:23;6
323;STRASBOURG-ENTZHEIM                     ;+48:32:58;+007:38:25;150
2184;ROUEN - BOOS                            ;+49:22:59;+001:10:54;151
2190;TOURS                                   ;+47:26:40;+000:43:38;108
2192;BASEL-MULHOUSE                          ;+47:36:52;+007:30:36;263
2195;LIMOGES - BELLEGARDE                    ;+45:51:40;+001:10:30;402
2196;LE PUY - LOUDES                         ;+45:04:28;+003:45:50;833
2199;GOURDON                                 ;+44:44:42;+001:23:48;260
2200;MILLAU                                  ;+44:07:07;+003:01:07;712
2203;MONT-DE-MARSAN                          ;+43:54:35;-000:30:01;59
2205;ST-GIRONS                               ;+43:00:19;+001:06:25;414
2207;MONTPELLIER-AEROPORT                    ;+43:34:37;+003:57:47;2
2209;AJACCIO                                 ;+41:55:05;+008:47:34;5
11243;TROYES-BARBEREY                         ;+48:19:29;+004:01:12;112
11244;PTE DE CHASSIRON                        ;+46:02:49;-001:24:42;11
11245;PLOUMANAC'H                             ;+48:49:33;-003:28:23;55
11246;NANCY-OCHEY                             ;+48:34:52;+005:57:35;336
11247;BELLE ILE - LE TALUT                    ;+47:17:40;-003:13:06;34
11248;CAP CEPET                               ;+43:04:46;+005:56:27;115
11249;ORLY                                    ;+48:43:01;+002:23:04;89
